location,state,driver_race,stops_per_year,stop_rate,search_rate,consent_search_rate,arrest_rate,citation_rate_speeding_stops,hit_rate,inferred_threshold
JEFFERSON COUNTY,CO,Hispanic,2369,0.04,0.006,0.002,0.053,0.429,0.355,0.342
JEFFERSON COUNTY,CO,White,22083,0.06,0.003,0.001,0.022,0.463,0.702,0.549
KIOWA COUNTY,CO,Black,67,13.4,0.0,0.0,0.016,0.532,NA,NA
KIOWA COUNTY,CO,Hispanic,222,3.7,0.0,0.0,0.019,0.647,NA,NA
KIOWA COUNTY,CO,White,949,0.878,0.001,0.0,0.007,0.521,0.667,0.558
KIT CARSON COUNTY,CO,Black,143,0.935,0.003,0.001,0.03,0.607,1.0,0.459
KIT CARSON COUNTY,CO,Hispanic,208,0.206,0.008,0.006,0.023,0.48,0.25,0.34
KIT CARSON COUNTY,CO,White,1723,0.34,0.004,0.001,0.007,0.46,0.742,0.527
LAKE COUNTY,CO,Black,7,0.333,0.0,0.0,0.0,0.333,NA,NA
LAKE COUNTY,CO,Hispanic,178,0.094,0.0,0.0,0.065,0.342,NA,NA
LAKE COUNTY,CO,White,633,0.169,0.005,0.001,0.024,0.385,0.733,0.533
LA PLATA COUNTY,CO,Black,68,0.382,0.012,0.012,0.031,0.267,0.0,0.341
LA PLATA COUNTY,CO,Hispanic,689,0.147,0.004,0.003,0.031,0.341,0.214,0.398
LA PLATA COUNTY,CO,White,7680,0.215,0.003,0.001,0.016,0.326,0.708,0.54
LARIMER COUNTY,CO,Black,360,0.164,0.008,0.002,0.027,0.408,0.357,0.386
LARIMER COUNTY,CO,Hispanic,1559,0.065,0.008,0.003,0.051,0.311,0.561,0.337
LARIMER COUNTY,CO,White,13605,0.061,0.004,0.001,0.021,0.278,0.612,0.511
LAS ANIMAS COUNTY,CO,Black,186,1.028,0.003,0.0,0.047,0.597,1.0,0.44
LAS ANIMAS COUNTY,CO,Hispanic,1462,0.308,0.005,0.002,0.055,0.613,0.529,0.375
LAS ANIMAS COUNTY,CO,White,4398,0.657,0.001,0.0,0.02,0.534,0.781,0.589
LINCOLN COUNTY,CO,Black,185,0.685,0.021,0.011,0.025,0.397,0.526,0.364
LINCOLN COUNTY,CO,Hispanic,288,0.481,0.028,0.019,0.11,0.428,0.45,0.257
LINCOLN COUNTY,CO,White,2098,0.595,0.007,0.003,0.01,0.35,0.653,0.526
LOGAN COUNTY,CO,Black,254,0.362,0.013,0.006,0.014,0.676,0.5,0.363
LOGAN COUNTY,CO,Hispanic,567,0.224,0.018,0.015,0.016,0.544,0.16,0.238
LOGAN COUNTY,CO,White,4887,0.339,0.004,0.001,0.006,0.364,0.73,0.55
MESA COUNTY,CO,Black,257,0.347,0.02,0.014,0.03,0.5,0.423,0.261
MESA COUNTY,CO,Hispanic,1606,0.115,0.016,0.013,0.068,0.515,0.217,0.219
MESA COUNTY,CO,White,14206,0.143,0.003,0.001,0.025,0.447,0.525,0.457
MINERAL COUNTY,CO,Black,55,27.5,0.0,0.0,0.019,0.424,NA,NA
MINERAL COUNTY,CO,Hispanic,182,8.667,0.003,0.003,0.007,0.564,0.0,0.35
MINERAL COUNTY,CO,White,2481,4.164,0.001,0.0,0.004,0.619,0.667,0.551
MOFFAT COUNTY,CO,Black,17,0.472,0.023,0.011,0.02,0.833,0.5,0.331
MOFFAT COUNTY,CO,Hispanic,201,0.162,0.02,0.0,0.027,0.581,0.4,0.239
MOFFAT COUNTY,CO,White,3048,0.358,0.007,0.0,0.014,0.538,0.32,0.371
MONTEZUMA COUNTY,CO,Black,50,0.909,0.016,0.012,0.068,0.143,0.25,0.322
MONTEZUMA COUNTY,CO,Hispanic,301,0.144,0.009,0.007,0.02,0.293,0.154,0.302
MONTEZUMA COUNTY,CO,White,2742,0.173,0.003,0.002,0.015,0.298,0.512,0.49
MONTROSE COUNTY,CO,Black,40,0.342,0.005,0.005,0.039,0.405,1.0,0.414
MONTROSE COUNTY,CO,Hispanic,760,0.139,0.008,0.002,0.037,0.465,0.759,0.411
MONTROSE COUNTY,CO,White,5205,0.199,0.004,0.001,0.018,0.416,0.736,0.574
MORGAN COUNTY,CO,Black,266,0.521,0.033,0.014,0.019,0.609,0.614,0.31
MORGAN COUNTY,CO,Hispanic,1117,0.17,0.011,0.007,0.031,0.423,0.375,0.382
MORGAN COUNTY,CO,White,4282,0.303,0.008,0.002,0.014,0.334,0.778,0.546
OTERO COUNTY,CO,Black,80,0.769,0.0,0.0,0.024,0.438,NA,NA
OTERO COUNTY,CO,Hispanic,1219,0.222,0.001,0.0,0.06,0.387,1.0,0.428
OTERO COUNTY,CO,White,2815,0.328,0.0,0.0,0.019,0.355,1.0,0.606
OURAY COUNTY,CO,Black,12,3.0,0.0,0.0,0.0,0.538,NA,NA
OURAY COUNTY,CO,Hispanic,149,0.851,0.004,0.0,0.036,0.554,0.667,0.37
OURAY COUNTY,CO,White,2123,0.584,0.001,0.0,0.012,0.48,0.769,0.572
PARK COUNTY,CO,Black,73,1.014,0.005,0.005,0.027,0.307,0.0,0.338
PARK COUNTY,CO,Hispanic,180,0.266,0.002,0.001,0.018,0.308,0.5,0.358
PARK COUNTY,CO,White,6157,0.489,0.002,0.001,0.01,0.27,0.35,0.426
PHILLIPS COUNTY,CO,Black,1,0.077,0.0,0.0,0.0,0.0,NA,NA
PHILLIPS COUNTY,CO,Hispanic,47,0.083,0.0,0.0,0.029,0.356,NA,NA
PHILLIPS COUNTY,CO,White,211,0.076,0.002,0.002,0.001,0.128,0.0,0.522
PITKIN COUNTY,CO,Black,6,0.066,0.0,0.0,0.0,0.5,NA,NA
PITKIN COUNTY,CO,Hispanic,128,0.1,0.0,0.0,0.016,0.48,NA,NA
PITKIN COUNTY,CO,White,584,0.045,0.002,0.0,0.027,0.353,1.0,0.568
PROWERS COUNTY,CO,Black,181,3.121,0.004,0.002,0.011,0.564,0.5,0.373
PROWERS COUNTY,CO,Hispanic,898,0.307,0.003,0.002,0.029,0.554,0.4,0.353
PROWERS COUNTY,CO,White,2991,0.483,0.001,0.0,0.01,0.447,0.8,0.58
PUEBLO COUNTY,CO,Black,371,0.159,0.01,0.005,0.036,0.593,0.444,0.398
PUEBLO COUNTY,CO,Hispanic,3192,0.064,0.01,0.005,0.046,0.571,0.555,0.343
PUEBLO COUNTY,CO,White,8635,0.119,0.003,0.001,0.02,0.51,0.698,0.593
RIO BLANCO COUNTY,CO,Black,17,0.288,0.0,0.0,0.043,0.625,NA,NA
RIO BLANCO COUNTY,CO,Hispanic,116,0.229,0.002,0.0,0.026,0.52,0.0,0.423
RIO BLANCO COUNTY,CO,White,1801,0.402,0.006,0.001,0.016,0.495,0.604,0.466
RIO GRANDE COUNTY,CO,Black,46,1.484,0.004,0.004,0.052,0.279,0.0,0.373
RIO GRANDE COUNTY,CO,Hispanic,968,0.256,0.004,0.002,0.04,0.302,0.278,0.347
RIO GRANDE COUNTY,CO,White,2831,0.544,0.001,0.0,0.012,0.317,0.706,0.543
ROUTT COUNTY,CO,Black,54,0.545,0.004,0.0,0.03,0.369,1.0,0.395
ROUTT COUNTY,CO,Hispanic,286,0.252,0.008,0.001,0.036,0.408,0.083,0.285
ROUTT COUNTY,CO,White,4919,0.275,0.003,0.0,0.02,0.453,0.48,0.449
SAGUACHE COUNTY,CO,Black,21,1.312,0.0,0.0,0.0,0.435,NA,NA
SAGUACHE COUNTY,CO,Hispanic,230,0.133,0.003,0.003,0.019,0.536,0.25,0.343
SAGUACHE COUNTY,CO,White,1301,0.429,0.001,0.0,0.009,0.45,0.286,0.52
SAN JUAN COUNTY,CO,Black,1,1.0,0.0,0.0,0.0,NA,NA,NA
SAN JUAN COUNTY,CO,Hispanic,1,0.012,0.0,0.0,0.2,NA,NA,NA
SAN JUAN COUNTY,CO,White,28,0.054,0.007,0.0,0.043,0.5,1.0,NA
SAN MIGUEL COUNTY,CO,Black,4,0.148,0.0,0.0,0.0,0.667,NA,NA
SAN MIGUEL COUNTY,CO,Hispanic,43,0.082,0.0,0.0,0.017,0.541,NA,NA
SAN MIGUEL COUNTY,CO,White,560,0.099,0.001,0.0,0.017,0.574,0.667,0.55
SEDGWICK COUNTY,CO,Black,23,2.556,0.0,0.0,0.019,0.731,NA,NA
SEDGWICK COUNTY,CO,Hispanic,48,0.189,0.004,0.004,0.0,0.422,0.0,0.356
SEDGWICK COUNTY,CO,White,449,0.272,0.002,0.001,0.002,0.266,0.5,0.532
SUMMIT COUNTY,CO,Black,200,0.98,0.008,0.002,0.017,0.443,0.625,0.387
SUMMIT COUNTY,CO,Hispanic,643,0.217,0.009,0.006,0.048,0.606,0.5,0.318
SUMMIT COUNTY,CO,White,5356,0.256,0.002,0.001,0.017,0.567,0.639,0.558
TELLER COUNTY,CO,Black,60,0.522,0.007,0.003,0.031,0.5,0.0,0.374
TELLER COUNTY,CO,Hispanic,120,0.118,0.003,0.0,0.054,0.514,1.0,0.399
TELLER COUNTY,CO,White,1873,0.105,0.005,0.0,0.027,0.569,0.468,0.436
WASHINGTON COUNTY,CO,Black,43,1.303,0.014,0.009,0.0,0.568,0.333,0.321
WASHINGTON COUNTY,CO,Hispanic,265,0.866,0.002,0.002,0.023,0.504,0.333,0.387
WASHINGTON COUNTY,CO,White,2082,0.597,0.001,0.0,0.01,0.418,0.538,0.538
WELD COUNTY,CO,Black,481,0.254,0.015,0.003,0.047,0.565,0.611,0.412
WELD COUNTY,CO,Hispanic,3009,0.058,0.012,0.004,0.057,0.52,0.591,0.375
WELD COUNTY,CO,White,12416,0.086,0.007,0.001,0.026,0.526,0.731,0.537
YUMA COUNTY,CO,Black,12,0.706,0.0,0.0,0.0,0.19,NA,NA
YUMA COUNTY,CO,Hispanic,222,0.163,0.003,0.0,0.049,0.208,1.0,0.347
YUMA COUNTY,CO,White,1500,0.237,0.0,0.0,0.01,0.182,0.0,0.582
FAIRFIELD COUNTY,CT,Black,5047,0.069,0.032,NA,0.023,NA,0.331,0.189
FAIRFIELD COUNTY,CT,Hispanic,4709,0.04,0.021,NA,0.041,NA,0.272,0.226
FAIRFIELD COUNTY,CT,White,17659,0.039,0.014,NA,0.02,NA,0.36,0.258
HARTFORD COUNTY,CT,Black,5141,0.062,0.039,NA,0.031,NA,0.268,0.187
HARTFORD COUNTY,CT,Hispanic,3280,0.032,0.043,NA,0.039,NA,0.278,0.186
HARTFORD COUNTY,CT,White,17650,0.039,0.013,NA,0.021,NA,0.299,0.262
LITCHFIELD COUNTY,CT,Black,859,0.453,0.036,NA,0.015,NA,0.277,0.19
LITCHFIELD COUNTY,CT,Hispanic,1127,0.175,0.04,NA,0.037,NA,0.373,0.2
LITCHFIELD COUNTY,CT,White,16213,0.127,0.017,NA,0.022,NA,0.411,0.273
MIDDLESEX COUNTY,CT,Black,2387,0.395,0.021,NA,0.021,NA,0.28,0.189
MIDDLESEX COUNTY,CT,Hispanic,1796,0.275,0.012,NA,0.028,NA,0.182,0.226
MIDDLESEX COUNTY,CT,White,20200,0.182,0.007,NA,0.014,NA,0.465,0.293
NEW HAVEN COUNTY,CT,Black,5637,0.074,0.033,NA,0.025,NA,0.239,0.188
NEW HAVEN COUNTY,CT,Hispanic,4678,0.05,0.035,NA,0.038,NA,0.331,0.193
NEW HAVEN COUNTY,CT,White,22464,0.051,0.013,NA,0.021,NA,0.366,0.271
NEW LONDON COUNTY,CT,Black,3031,0.27,0.03,NA,0.026,NA,0.348,0.192
NEW LONDON COUNTY,CT,Hispanic,2183,0.126,0.032,NA,0.039,NA,0.295,0.195
NEW LONDON COUNTY,CT,White,25107,0.156,0.015,NA,0.029,NA,0.314,0.244
TOLLAND COUNTY,CT,Black,2081,0.569,0.029,NA,0.022,NA,0.156,0.189
TOLLAND COUNTY,CT,Hispanic,1752,0.34,0.037,NA,0.034,NA,0.188,0.18
TOLLAND COUNTY,CT,White,25722,0.256,0.012,NA,0.019,NA,0.438,0.284
WINDHAM COUNTY,CT,Black,811,0.513,0.037,NA,0.028,NA,0.489,0.189
WINDHAM COUNTY,CT,Hispanic,1264,0.151,0.032,NA,0.066,NA,0.367,0.207
WINDHAM COUNTY,CT,White,16675,0.22,0.013,NA,0.022,NA,0.448,0.295
ALACHUA COUNTY,FL,Black,3416,0.088,0.022,0.004,0.05,0.752,NA,NA
ALACHUA COUNTY,FL,Hispanic,1238,0.067,0.021,0.004,0.055,0.818,NA,NA
ALACHUA COUNTY,FL,White,8810,0.064,0.007,0.002,0.019,0.714,NA,NA
BAKER COUNTY,FL,Black,1091,0.375,0.003,0.0,0.035,0.85,NA,NA
BAKER COUNTY,FL,Hispanic,176,0.391,0.005,0.001,0.048,0.881,NA,NA
BAKER COUNTY,FL,White,3010,0.174,0.001,0.001,0.023,0.731,NA,NA
BAY COUNTY,FL,Black,2191,0.152,0.007,0.001,0.059,0.701,NA,NA
BAY COUNTY,FL,Hispanic,392,0.058,0.005,0.002,0.121,0.742,NA,NA
BAY COUNTY,FL,White,12208,0.107,0.003,0.001,0.036,0.67,NA,NA
BRADFORD COUNTY,FL,Black,236,0.054,0.002,0.0,0.038,0.58,NA,NA
BRADFORD COUNTY,FL,Hispanic,62,0.075,0.004,0.0,0.039,0.783,NA,NA
BRADFORD COUNTY,FL,White,965,0.058,0.0,0.0,0.021,0.592,NA,NA
BREVARD COUNTY,FL,Black,1535,0.037,0.015,0.004,0.044,0.687,NA,NA
BREVARD COUNTY,FL,Hispanic,1298,0.035,0.011,0.004,0.039,0.739,NA,NA
BREVARD COUNTY,FL,White,6839,0.019,0.006,0.001,0.03,0.68,NA,NA
BROWARD COUNTY,FL,Black,14924,0.04,0.006,0.001,0.058,0.848,NA,NA
BROWARD COUNTY,FL,Hispanic,18472,0.047,0.004,0.001,0.044,0.869,NA,NA
BROWARD COUNTY,FL,White,23641,0.037,0.003,0.001,0.025,0.827,NA,NA
CALHOUN COUNTY,FL,Black,150,0.089,0.001,0.0,0.04,0.787,NA,NA
CALHOUN COUNTY,FL,Hispanic,31,0.051,0.007,0.0,0.113,0.895,NA,NA
CALHOUN COUNTY,FL,White,788,0.086,0.001,0.001,0.017,0.731,NA,NA
CHARLOTTE COUNTY,FL,Black,613,0.08,0.028,0.011,0.041,0.677,NA,NA
CHARLOTTE COUNTY,FL,Hispanic,1011,0.123,0.012,0.005,0.038,0.782,NA,NA
CHARLOTTE COUNTY,FL,White,3909,0.031,0.007,0.003,0.016,0.605,NA,NA
CITRUS COUNTY,FL,Black,148,0.047,0.005,0.001,0.042,0.789,NA,NA
CITRUS COUNTY,FL,Hispanic,130,0.024,0.003,0.0,0.045,0.824,NA,NA
CITRUS COUNTY,FL,White,3206,0.029,0.002,0.001,0.017,0.788,NA,NA
CLAY COUNTY,FL,Black,580,0.039,0.008,0.001,0.075,0.685,NA,NA
CLAY COUNTY,FL,Hispanic,275,0.022,0.002,0.001,0.06,0.667,NA,NA
CLAY COUNTY,FL,White,2916,0.024,0.002,0.0,0.038,0.701,NA,NA
COLLIER COUNTY,FL,Black,2879,0.177,0.023,0.006,0.037,0.777,NA,NA
COLLIER COUNTY,FL,Hispanic,6347,0.097,0.012,0.004,0.037,0.821,NA,NA
COLLIER COUNTY,FL,White,9507,0.048,0.008,0.002,0.02,0.739,NA,NA
COLUMBIA COUNTY,FL,Black,2745,0.288,0.018,0.002,0.041,0.872,NA,NA
COLUMBIA COUNTY,FL,Hispanic,907,0.335,0.021,0.006,0.07,0.9,NA,NA
COLUMBIA COUNTY,FL,White,6796,0.166,0.008,0.001,0.019,0.815,NA,NA
DESOTO COUNTY,FL,Black,665,0.184,0.001,0.001,0.036,0.56,NA,NA
DESOTO COUNTY,FL,Hispanic,895,0.116,0.0,0.0,0.108,0.582,NA,NA
DESOTO COUNTY,FL,White,3888,0.233,0.001,0.0,0.012,0.513,NA,NA
DIXIE COUNTY,FL,Black,273,0.231,0.0,0.0,0.027,0.589,NA,NA
DIXIE COUNTY,FL,Hispanic,99,0.227,0.0,0.0,0.038,0.754,NA,NA
DIXIE COUNTY,FL,White,2794,0.244,0.001,0.0,0.017,0.466,NA,NA
DUVAL COUNTY,FL,Black,8438,0.044,0.018,0.002,0.11,0.817,NA,NA
DUVAL COUNTY,FL,Hispanic,1893,0.035,0.006,0.001,0.094,0.849,NA,NA
DUVAL COUNTY,FL,White,16976,0.041,0.005,0.001,0.045,0.834,NA,NA
ESCAMBIA COUNTY,FL,Black,3187,0.062,0.003,0.0,0.109,0.621,NA,NA
ESCAMBIA COUNTY,FL,Hispanic,449,0.037,0.003,0.001,0.152,0.684,NA,NA
ESCAMBIA COUNTY,FL,White,9660,0.057,0.002,0.0,0.052,0.6,NA,NA
FLAGLER COUNTY,FL,Black,759,0.089,0.013,0.002,0.033,0.675,NA,NA
FLAGLER COUNTY,FL,Hispanic,451,0.061,0.008,0.002,0.042,0.708,NA,NA
FLAGLER COUNTY,FL,White,2335,0.036,0.003,0.001,0.017,0.605,NA,NA
FRANKLIN COUNTY,FL,Black,163,0.112,0.013,0.006,0.048,0.395,NA,NA
FRANKLIN COUNTY,FL,Hispanic,38,0.078,0.0,0.0,0.128,0.611,NA,NA
FRANKLIN COUNTY,FL,White,1769,0.227,0.004,0.001,0.026,0.429,NA,NA
GADSDEN COUNTY,FL,Black,5252,0.268,0.006,0.001,0.045,0.71,NA,NA
GADSDEN COUNTY,FL,Hispanic,1190,0.385,0.008,0.002,0.119,0.862,NA,NA
GADSDEN COUNTY,FL,White,7337,0.533,0.002,0.001,0.014,0.784,NA,NA
GILCHRIST COUNTY,FL,Black,46,0.062,0.013,0.0,0.035,0.387,NA,NA
GILCHRIST COUNTY,FL,Hispanic,27,0.043,0.0,0.0,0.144,0.595,NA,NA
GILCHRIST COUNTY,FL,White,676,0.055,0.005,0.002,0.023,0.382,NA,NA
GLADES COUNTY,FL,Black,204,0.14,0.011,0.005,0.037,0.72,NA,NA
GLADES COUNTY,FL,Hispanic,442,0.215,0.007,0.005,0.042,0.811,NA,NA
GLADES COUNTY,FL,White,741,0.102,0.004,0.001,0.014,0.707,NA,NA
GULF COUNTY,FL,Black,52,0.02,0.0,0.0,0.047,0.345,NA,NA
GULF COUNTY,FL,Hispanic,5,0.008,0.0,0.0,0.087,0.667,NA,NA
GULF COUNTY,FL,White,384,0.038,0.0,0.0,0.016,0.304,NA,NA
HAMILTON COUNTY,FL,Black,1349,0.338,0.01,0.002,0.027,0.869,NA,NA
HAMILTON COUNTY,FL,Hispanic,384,0.41,0.011,0.002,0.05,0.901,NA,NA
HAMILTON COUNTY,FL,White,2589,0.383,0.004,0.001,0.012,0.813,NA,NA
HARDEE COUNTY,FL,Black,223,0.15,0.004,0.0,0.023,0.466,NA,NA
HARDEE COUNTY,FL,Hispanic,548,0.07,0.002,0.0,0.115,0.512,NA,NA
HARDEE COUNTY,FL,White,1473,0.133,0.001,0.0,0.007,0.419,NA,NA
HENDRY COUNTY,FL,Black,496,0.144,0.005,0.001,0.035,0.743,NA,NA
HENDRY COUNTY,FL,Hispanic,1339,0.098,0.003,0.001,0.06,0.784,NA,NA
HENDRY COUNTY,FL,White,1951,0.179,0.002,0.001,0.016,0.693,NA,NA
HERNANDO COUNTY,FL,Black,855,0.129,0.01,0.003,0.05,0.684,NA,NA
HERNANDO COUNTY,FL,Hispanic,1024,0.069,0.007,0.002,0.041,0.713,NA,NA
HERNANDO COUNTY,FL,White,11319,0.094,0.004,0.001,0.023,0.647,NA,NA
HIGHLANDS COUNTY,FL,Black,985,0.143,0.006,0.001,0.026,0.557,NA,NA
HIGHLANDS COUNTY,FL,Hispanic,1609,0.124,0.002,0.0,0.035,0.667,NA,NA
HIGHLANDS COUNTY,FL,White,4497,0.074,0.002,0.0,0.011,0.516,NA,NA
HILLSBOROUGH COUNTY,FL,Black,4312,0.028,0.011,0.003,0.05,0.741,NA,NA
HILLSBOROUGH COUNTY,FL,Hispanic,5268,0.021,0.008,0.003,0.066,0.748,NA,NA
HILLSBOROUGH COUNTY,FL,White,16347,0.029,0.005,0.002,0.024,0.734,NA,NA
HOLMES COUNTY,FL,Black,609,0.54,0.012,0.004,0.037,0.802,NA,NA
HOLMES COUNTY,FL,Hispanic,276,0.711,0.015,0.007,0.066,0.861,NA,NA
HOLMES COUNTY,FL,White,2398,0.17,0.011,0.006,0.022,0.711,NA,NA
INDIAN RIVER COUNTY,FL,Black,1375,0.148,0.006,0.002,0.03,0.859,NA,NA
INDIAN RIVER COUNTY,FL,Hispanic,1399,0.118,0.003,0.001,0.024,0.894,NA,NA
INDIAN RIVER COUNTY,FL,White,4489,0.047,0.002,0.001,0.009,0.81,NA,NA
JACKSON COUNTY,FL,Black,1470,0.137,0.012,0.004,0.036,0.793,NA,NA
JACKSON COUNTY,FL,Hispanic,437,0.237,0.028,0.018,0.075,0.907,NA,NA
JACKSON COUNTY,FL,White,4245,0.156,0.007,0.004,0.017,0.727,NA,NA
JEFFERSON COUNTY,FL,Black,1399,0.345,0.009,0.002,0.033,0.755,NA,NA
JEFFERSON COUNTY,FL,Hispanic,324,0.762,0.016,0.009,0.064,0.869,NA,NA
JEFFERSON COUNTY,FL,White,3009,0.415,0.005,0.002,0.015,0.7,NA,NA
LAFAYETTE COUNTY,FL,Black,94,0.079,0.002,0.002,0.024,0.601,NA,NA
LAFAYETTE COUNTY,FL,Hispanic,53,0.065,0.0,0.0,0.17,0.71,NA,NA
LAFAYETTE COUNTY,FL,White,506,0.099,0.0,0.0,0.014,0.431,NA,NA
LAKE COUNTY,FL,Black,2395,0.105,0.008,0.002,0.034,0.608,NA,NA
LAKE COUNTY,FL,Hispanic,2435,0.082,0.007,0.003,0.045,0.685,NA,NA
LAKE COUNTY,FL,White,10339,0.053,0.004,0.001,0.017,0.542,NA,NA
LEE COUNTY,FL,Black,2058,0.053,0.022,0.007,0.048,0.731,NA,NA
LEE COUNTY,FL,Hispanic,4015,0.044,0.013,0.006,0.068,0.787,NA,NA
LEE COUNTY,FL,White,11221,0.028,0.008,0.003,0.03,0.703,NA,NA
LEON COUNTY,FL,Black,7836,0.115,0.01,0.001,0.058,0.691,NA,NA
LEON COUNTY,FL,Hispanic,1317,0.095,0.007,0.002,0.083,0.779,NA,NA
LEON COUNTY,FL,White,13966,0.1,0.006,0.002,0.027,0.639,NA,NA
LEVY COUNTY,FL,Black,352,0.125,0.013,0.002,0.031,0.474,NA,NA
LEVY COUNTY,FL,Hispanic,162,0.071,0.006,0.001,0.09,0.48,NA,NA
LEVY COUNTY,FL,White,2386,0.089,0.002,0.0,0.015,0.387,NA,NA
LIBERTY COUNTY,FL,Black,223,0.16,0.004,0.0,0.023,0.6,NA,NA
LIBERTY COUNTY,FL,Hispanic,47,0.109,0.013,0.0,0.165,0.667,NA,NA
LIBERTY COUNTY,FL,White,810,0.166,0.003,0.0,0.016,0.512,NA,NA
MADISON COUNTY,FL,Black,2291,0.399,0.011,0.002,0.045,0.866,NA,NA
MADISON COUNTY,FL,Hispanic,877,1.218,0.014,0.007,0.05,0.907,NA,NA
MADISON COUNTY,FL,White,4325,0.5,0.006,0.002,0.019,0.831,NA,NA
MANATEE COUNTY,FL,Black,1575,0.072,0.012,0.006,0.066,0.695,NA,NA
MANATEE COUNTY,FL,Hispanic,1799,0.051,0.004,0.001,0.145,0.734,NA,NA
MANATEE COUNTY,FL,White,7434,0.034,0.002,0.001,0.025,0.654,NA,NA
MARION COUNTY,FL,Black,2327,0.073,0.009,0.002,0.027,0.754,NA,NA
MARION COUNTY,FL,Hispanic,1539,0.054,0.008,0.003,0.033,0.787,NA,NA
MARION COUNTY,FL,White,8097,0.038,0.005,0.001,0.015,0.713,NA,NA
MARTIN COUNTY,FL,Black,2875,0.454,0.003,0.001,0.027,0.832,NA,NA
MARTIN COUNTY,FL,Hispanic,3241,0.241,0.003,0.001,0.031,0.842,NA,NA
MARTIN COUNTY,FL,White,7410,0.07,0.002,0.001,0.017,0.748,NA,NA
MIAMI-DADE COUNTY,FL,Black,12379,0.036,0.009,0.002,0.085,0.759,NA,NA
MIAMI-DADE COUNTY,FL,Hispanic,49938,0.035,0.004,0.001,0.047,0.808,NA,NA
MIAMI-DADE COUNTY,FL,White,12002,0.037,0.004,0.001,0.029,0.76,NA,NA
MONROE COUNTY,FL,Black,943,0.264,0.009,0.001,0.033,0.642,NA,NA
MONROE COUNTY,FL,Hispanic,3568,0.272,0.004,0.0,0.022,0.728,NA,NA
MONROE COUNTY,FL,White,8472,0.179,0.003,0.0,0.013,0.679,NA,NA
NASSAU COUNTY,FL,Black,802,0.21,0.013,0.001,0.059,0.751,NA,NA
NASSAU COUNTY,FL,Hispanic,299,0.149,0.014,0.001,0.076,0.803,NA,NA
NASSAU COUNTY,FL,White,3148,0.057,0.023,0.001,0.055,0.669,NA,NA
OKALOOSA COUNTY,FL,Black,1336,0.097,0.007,0.001,0.041,0.637,NA,NA
OKALOOSA COUNTY,FL,Hispanic,555,0.051,0.019,0.002,0.083,0.71,NA,NA
OKALOOSA COUNTY,FL,White,8005,0.067,0.005,0.001,0.021,0.616,NA,NA
OKEECHOBEE COUNTY,FL,Black,336,0.127,0.01,0.002,0.038,0.818,NA,NA
OKEECHOBEE COUNTY,FL,Hispanic,595,0.089,0.007,0.001,0.057,0.881,NA,NA
OKEECHOBEE COUNTY,FL,White,1263,0.059,0.005,0.002,0.02,0.722,NA,NA
ORANGE COUNTY,FL,Black,10717,0.058,0.007,0.002,0.039,0.687,NA,NA
ORANGE COUNTY,FL,Hispanic,14304,0.053,0.004,0.001,0.039,0.738,NA,NA
ORANGE COUNTY,FL,White,28415,0.062,0.003,0.001,0.019,0.687,NA,NA
OSCEOLA COUNTY,FL,Black,3640,0.167,0.005,0.001,0.024,0.823,NA,NA
OSCEOLA COUNTY,FL,Hispanic,8699,0.079,0.002,0.001,0.02,0.848,NA,NA
OSCEOLA COUNTY,FL,White,10534,0.115,0.001,0.0,0.009,0.779,NA,NA
PALM BEACH COUNTY,FL,Black,15956,0.087,0.005,0.001,0.06,0.834,NA,NA
PALM BEACH COUNTY,FL,Hispanic,15790,0.075,0.005,0.001,0.064,0.878,NA,NA
PALM BEACH COUNTY,FL,White,34084,0.049,0.003,0.001,0.027,0.841,NA,NA
PASCO COUNTY,FL,Black,914,0.053,0.011,0.002,0.053,0.501,NA,NA
PASCO COUNTY,FL,Hispanic,1366,0.03,0.012,0.004,0.061,0.544,NA,NA
PASCO COUNTY,FL,White,8381,0.027,0.01,0.002,0.046,0.501,NA,NA
PINELLAS COUNTY,FL,Black,1836,0.025,0.02,0.006,0.058,0.629,NA,NA
PINELLAS COUNTY,FL,Hispanic,1214,0.02,0.008,0.004,0.052,0.732,NA,NA
PINELLAS COUNTY,FL,White,9143,0.015,0.006,0.002,0.02,0.67,NA,NA
POLK COUNTY,FL,Black,4208,0.062,0.01,0.004,0.038,0.787,NA,NA
POLK COUNTY,FL,Hispanic,4266,0.051,0.008,0.003,0.054,0.834,NA,NA
POLK COUNTY,FL,White,17873,0.054,0.004,0.002,0.016,0.764,NA,NA
PUTNAM COUNTY,FL,Black,880,0.102,0.025,0.003,0.063,0.475,NA,NA
PUTNAM COUNTY,FL,Hispanic,250,0.055,0.012,0.004,0.088,0.531,NA,NA
PUTNAM COUNTY,FL,White,3415,0.077,0.006,0.002,0.023,0.488,NA,NA
ST. JOHNS COUNTY,FL,Black,1606,0.185,0.024,0.007,0.052,0.741,NA,NA
ST. JOHNS COUNTY,FL,Hispanic,814,0.087,0.008,0.004,0.045,0.782,NA,NA
ST. JOHNS COUNTY,FL,White,5623,0.039,0.004,0.001,0.021,0.708,NA,NA
ST. LUCIE COUNTY,FL,Black,6005,0.146,0.006,0.002,0.033,0.827,NA,NA
ST. LUCIE COUNTY,FL,Hispanic,7681,0.214,0.003,0.001,0.027,0.872,NA,NA
